date_key,full_date,day_of_week,day_name,is_weekend,week_of_year,month_number,month_name,quarter,year,fiscal_year,fiscal_quarter,season,is_holiday,holiday_name
20210301,2021-03-01,1,Monday,False,9,3,March,1,2021,2021,FQ1,Spring,False,
20210302,2021-03-02,2,Tuesday,False,9,3,March,1,2021,2021,FQ1,Spring,False,
20210303,2021-03-03,3,Wednesday,False,9,3,March,1,2021,2021,FQ1,Spring,False,
20210304,2021-03-04,4,Thursday,False,9,3,March,1,2021,2021,FQ1,Spring,False,
20210305,2021-03-05,5,Friday,False,9,3,March,1,2021,2021,FQ1,Spring,False,
20210306,2021-03-06,6,Saturday,True,9,3,March,1,2021,2021,FQ1,Spring,False,
20210307,2021-03-07,7,Sunday,True,9,3,March,1,2021,2021,FQ1,Spring,False,
20210308,2021-03-08,1,Monday,False,10,3,March,1,2021,2021,FQ1,Spring,False,
20210309,2021-03-09,2,Tuesday,False,10,3,March,1,2021,2021,FQ1,Spring,False,
20210310,2021-03-10,3,Wednesday,False,10,3,March,1,2021,2021,FQ1,Spring,False,
20210311,2021-03-11,4,Thursday,False,10,3,March,1,2021,2021,FQ1,Spring,False,
20210312,2021-03-12,5,Friday,False,10,3,March,1,2021,2021,FQ1,Spring,False,
20210313,2021-03-13,6,Saturday,True,10,3,March,1,2021,2021,FQ1,Spring,False,
20210314,2021-03-14,7,Sunday,True,10,3,March,1,2021,2021,FQ1,Spring,False,
20210315,2021-03-15,1,Monday,False,11,3,March,1,2021,2021,FQ1,Spring,False,
20210316,2021-03-16,2,Tuesday,False,11,3,March,1,2021,2021,FQ1,Spring,False,
20210317,2021-03-17,3,Wednesday,False,11,3,March,1,2021,2021,FQ1,Spring,False,
20210318,2021-03-18,4,Thursday,False,11,3,March,1,2021,2021,FQ1,Spring,False,
20210319,2021-03-19,5,Friday,False,11,3,March,1,2021,2021,FQ1,Spring,False,
20210320,2021-03-20,6,Saturday,True,11,3,March,1,2021,2021,FQ1,Spring,False,
20210321,2021-03-21,7,Sunday,True,11,3,March,1,2021,2021,FQ1,Spring,False,
20210322,2021-03-22,1,Monday,False,12,3,March,1,2021,2021,FQ1,Spring,False,
20210323,2021-03-23,2,Tuesday,False,12,3,March,1,2021,2021,FQ1,Spring,False,
20210324,2021-03-24,3,Wednesday,False,12,3,March,1,2021,2021,FQ1,Spring,False,
20210325,2021-03-25,4,Thursday,False,12,3,March,1,2021,2021,FQ1,Spring,False,
20210326,2021-03-26,5,Friday,False,12,3,March,1,2021,2021,FQ1,Spring,False,
20210327,2021-03-27,6,Saturday,True,12,3,March,1,2021,2021,FQ1,Spring,False,
20210328,2021-03-28,7,Sunday,True,12,3,March,1,2021,2021,FQ1,Spring,False,
20210329,2021-03-29,1,Monday,False,13,3,March,1,2021,2021,FQ1,Spring,False,
20210330,2021-03-30,2,Tuesday,False,13,3,March,1,2021,2021,FQ1,Spring,False,
20210331,2021-03-31,3,Wednesday,False,13,3,March,1,2021,2021,FQ1,Spring,False,
20210401,2021-04-01,4,Thursday,False,13,4,April,2,2021,2021,FQ1,Spring,False,
20210402,2021-04-02,5,Friday,False,13,4,April,2,2021,2021,FQ1,Spring,False,
20210403,2021-04-03,6,Saturday,True,13,4,April,2,2021,2021,FQ1,Spring,False,
20210404,2021-04-04,7,Sunday,True,13,4,April,2,2021,2021,FQ1,Spring,False,
20210405,2021-04-05,1,Monday,False,14,4,April,2,2021,2021,FQ1,Spring,False,
20210406,2021-04-06,2,Tuesday,False,14,4,April,2,2021,2021,FQ1,Spring,False,
20210407,2021-04-07,3,Wednesday,False,14,4,April,2,2021,2021,FQ1,Spring,False,
20210408,2021-04-08,4,Thursday,False,14,4,April,2,2021,2021,FQ1,Spring,False,
20210409,2021-04-09,5,Friday,False,14,4,April,2,2021,2021,FQ1,Spring,False,
20210410,2021-04-10,6,Saturday,True,14,4,April,2,2021,2021,FQ1,Spring,False,
20210411,2021-04-11,7,Sunday,True,14,4,April,2,2021,2021,FQ1,Spring,False,
20210412,2021-04-12,1,Monday,False,15,4,April,2,2021,2021,FQ1,Spring,False,
20210413,2021-04-13,2,Tuesday,False,15,4,April,2,2021,2021,FQ1,Spring,False,
20210414,2021-04-14,3,Wednesday,False,15,4,April,2,2021,2021,FQ1,Spring,False,
20210415,2021-04-15,4,Thursday,False,15,4,April,2,2021,2021,FQ1,Spring,False,
20210416,2021-04-16,5,Friday,False,15,4,April,2,2021,2021,FQ1,Spring,False,
20210417,2021-04-17,6,Saturday,True,15,4,April,2,2021,2021,FQ1,Spring,False,
20210418,2021-04-18,7,Sunday,True,15,4,April,2,2021,2021,FQ1,Spring,False,
20210419,2021-04-19,1,Monday,False,16,4,April,2,2021,2021,FQ1,Spring,False,
20210420,2021-04-20,2,Tuesday,False,16,4,April,2,2021,2021,FQ1,Spring,False,
20210421,2021-04-21,3,Wednesday,False,16,4,April,2,2021,2021,FQ1,Spring,False,
20210422,2021-04-22,4,Thursday,False,16,4,April,2,2021,2021,FQ1,Spring,False,
20210423,2021-04-23,5,Friday,False,16,4,April,2,2021,2021,FQ1,Spring,False,
